customer_id,customer_name,joined_at,favorite_item,transaction_id,occurred_at,amount,gross_amount,refunded_amount,status,currency
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536365,2010-12-01T08:26:00+00:00,139.12,139.12,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536366,2010-12-01T08:28:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536372,2010-12-01T09:01:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536373,2010-12-01T09:02:00+00:00,259.86,259.86,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536375,2010-12-01T09:32:00+00:00,259.86,259.86,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536377,2010-12-01T09:34:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536396,2010-12-01T10:51:00+00:00,376.36,376.36,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536399,2010-12-01T10:52:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536406,2010-12-01T11:33:00+00:00,353.14,353.14,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536407,2010-12-01T11:34:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536600,2010-12-02T08:32:00+00:00,251.62,251.62,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536601,2010-12-02T08:33:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536602,2010-12-02T08:34:00+00:00,163.76,163.76,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536603,2010-12-02T08:40:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536609,2010-12-02T09:41:00+00:00,244.46,244.46,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536610,2010-12-02T09:42:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536612,2010-12-02T09:44:00+00:00,206.76,206.76,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536614,2010-12-02T09:44:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536628,2010-12-02T10:54:00+00:00,230.56,230.56,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536629,2010-12-02T10:55:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536630,2010-12-02T10:56:00+00:00,244.46,244.46,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536631,2010-12-02T10:58:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536685,2010-12-02T12:23:00+00:00,380.46,380.46,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536688,2010-12-02T12:24:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536690,2010-12-02T12:25:00+00:00,331.26,331.26,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536693,2010-12-02T12:26:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536750,2010-12-02T14:04:00+00:00,434.80,434.80,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536751,2010-12-02T14:05:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536752,2010-12-02T14:06:00+00:00,390.66,390.66,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536753,2010-12-02T14:07:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536787,2010-12-02T15:24:00+00:00,192.46,192.46,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536789,2010-12-02T15:25:00+00:00,22.20,22.20,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536790,2010-12-02T15:26:00+00:00,532.01,532.01,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-536791,2010-12-02T15:27:00+00:00,44.40,44.40,0,completed,GBP
17850,UCI Customer 17850,2010-12-01T08:26:00+00:00,IVORY EMBROIDERED QUILT,uci-17850-C543611,2011-02-10T14:38:00+00:00,0,102.58,102.58,refunded,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-542836,2011-02-01T11:31:00+00:00,239.30,239.30,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-543278,2011-02-06T14:43:00+00:00,203.82,203.82,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-544292,2011-02-17T12:33:00+00:00,304.65,304.65,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-545056,2011-02-27T12:48:00+00:00,486.65,486.65,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-546220,2011-03-10T12:16:00+00:00,541.10,541.10,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-547653,2011-03-24T12:21:00+00:00,515.90,515.90,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-549276,2011-04-07T13:11:00+00:00,267.10,267.10,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-551603,2011-05-03T11:34:00+00:00,467.70,467.70,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-552953,2011-05-12T12:11:00+00:00,561.81,561.81,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-556195,2011-06-09T12:21:00+00:00,535.01,535.01,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-556724,2011-06-14T11:26:00+00:00,246.49,246.49,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-C556787,2011-06-14T13:26:00+00:00,0,23.60,23.60,refunded,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-558633,2011-06-30T19:13:00+00:00,294.65,294.65,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-560539,2011-07-19T12:19:00+00:00,513.48,513.48,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-562011,2011-08-01T13:54:00+00:00,422.07,422.07,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-563192,2011-08-12T16:10:00+00:00,311.20,311.20,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-565320,2011-09-02T13:10:00+00:00,461.77,461.77,0,completed,GBP
16745,UCI Customer 16745,2011-02-01T11:31:00+00:00,SET OF 3 CAKE TINS PANTRY DESIGN,uci-16745-566709,2011-09-14T11:58:00+00:00,821.60,821.60,0,completed,GBP
16928,UCI Customer 16928,2010-12-01T15:21:00+00:00,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,uci-16928-536566,2010-12-01T15:21:00+00:00,116.25,116.25,0,completed,GBP
16928,UCI Customer 16928,2010-12-01T15:21:00+00:00,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,uci-16928-541791,2011-01-21T13:07:00+00:00,101.25,101.25,0,completed,GBP
16928,UCI Customer 16928,2010-12-01T15:21:00+00:00,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,uci-16928-543730,2011-02-11T11:57:00+00:00,112.50,112.50,0,completed,GBP
